word,mean,root,count,date
submit,제출하다 / 복종하다 / 제안하다,submit,0,2026-03-29
file,파일 / 서류 / 제출하다 / 신고하다,file,1,2026-03-29
address,주소 / 연설하다 / 문제를 다루다,address,0,2026-03-29
inquire,묻다 / 문의하다 / 조사하다,inquir,0,2026-03-29
inquiry,문의 / 질문 / 조사,inquir,0,2026-03-29
consideration,고려 / 배려 / 대가,consider,1,2026-03-29
considerable,상당한 / 꽤 많은 / 중요한,consider,0,2026-03-29
considerably,상당히 / 크게 / 꽤 많이,consider,0,2026-03-29
considering,~을 고려하면 / ~을 생각하면,consider,0,2026-03-29
oval,타원형 / 달걀 모양의,oval,0,2026-03-29
express,표현하다 / 급행의 / 명확한,express,0,2026-03-29
so far,지금까지 / 지금까지는,so far,0,2026-03-29
approximate,대략적인 / 근사한 / 대강의,approxim,0,2026-03-29
organize,정리하다 / 조직하다 / 준비하다 / 계획하다,organ,0,2026-03-29
organization,조직 / 단체 / 조직화 / 정리,organ,1,2026-03-29
residence,거주 / 거주지 / 주택,resid,1,2026-03-29
appoint,임명하다 / 지정하다 / 정하다,appoint,0,2026-03-29
if so,만약 그렇다면 / 그렇다면,if so,1,2026-03-29
though,비록 ~이지만 / 하지만 / 그래도,though,1,2026-03-29
in the meantime,그동안에 / 그 사이에,in the meantim,0,2026-03-29
appointment,약속 / 예약 / 임명,appoint,1,2026-03-29
upon,~하자마자 / ~위에 / ~에 근거하여,upon,0,2026-03-29
projection,예상 / 전망 / 투사 / 돌출,project,0,2026-03-29
among,~사이에 / ~가운데 / ~중에서,among,0,2026-03-29
greatly,매우 / 크게 / 상당히,greatli,0,2026-03-29
great,큰 / 훌륭한 / 대단한 / 아주 좋은,great,0,2026-03-29
enroll,등록하다 / 입학하다 / 가입하다,enrol,0,2026-03-29
frequent,자주 있는 / 빈번한,frequent,0,2026-03-29
inclement,(날씨가) 궂은 / 험한 / 혹독한,inclement,0,2026-03-29
explore,탐험하다 / 탐색하다 / 조사하다 / 살펴보다,explor,1,2026-03-29
in case,혹시 ~할까 봐 / ~에 대비해서,in cas,1,2026-03-29
trace,흔적 / 자취 / 미량 / 추적하다,trace,1,2026-03-29
favorably,호의적으로 / 좋게 / 긍정적으로,favor,0,2026-03-29
disparate,서로 매우 다른 / 이질적인,dispar,1,2026-03-29
extension,확장 / 연장 / 내선번호,extens,0,2026-03-29
constituency,선거구 / 지지자 집단,constitu,0,2026-03-29
constitute,구성하다 / 이루다 / 형성하다,constitut,0,2026-03-29
insistent,끈질긴 / 강하게 요구하는 / 고집하는,insist,0,2026-03-29
mindful,유의하는 / 주의하는 / 염두에 두는,mind,0,2026-03-29
expedite,촉진하다 / 신속히 처리하다 / 빨리 진행시키다,expedit,0,2026-03-29
in common,공통으로 / 공통점으로,in common,1,2026-03-29
prospect,전망 / 가능성 / 잠재 고객,prospect,0,2026-03-29
intend,의도하다 / ~할 생각이다 / 계획하다,intend,1,2026-03-29
instruct,"지시하다, 가르치다",instruct,0,2026-03-29
resume,이력서,resum,1,2026-03-29
applicant,"지원자, 신청자",apply,1,2026-03-29
requirement,"필요한 조건, 요구사항",requir,0,2026-03-29
meet,"(필요,요구 등을)만족시키다",meet,1,2026-03-29
qualified,"자격있는, 적격의",qualifi,0,2026-03-29
candidate,"후보자, 지원자",candid,0,2026-03-29
confidence,"확신, 자신, 신임",confid,1,2026-03-29
highly,"매우, 대단히",highli,0,2026-03-29
professional,"전문적인, 직업의, 전문가",profession,0,2026-03-29
interview,"면접, 면접을 보다",interview,1,2026-03-29
hire,고용하다,hire,0,2026-03-29
training,"교육, 훈련",train,0,2026-03-29
reference,"추천서, 참고",refer,1,2026-03-29
position,"일자리, 직책, 두다",posit,1,2026-03-29
achievement,"성취, 달성",achiev,0,2026-03-29
impressed,"인상 깊게 생각하는, 감명을 받은",impress,0,2026-03-29
excellent,훌륭한,excel,0,2026-03-29
eligible,"자격이 있는, 적격의",elig,0,2026-03-29
identify,"알아보다, 확인하다",identifi,0,2026-03-29
associate,관련시키다,associ,0,2026-03-29
employment,고용,employ,0,2026-03-29
lack,"~이 없다, 부족",lack,1,2026-03-29
managerial,관리의,manageri,0,2026-03-29
diligent,성실한,dilig,1,2026-03-29
familiar,"익숙한, 친숙한",familiar,0,2026-03-29
proficiency,"숙달, 능숙",profici,0,2026-03-29
appeal,"관심을 끌다, 매력적이다",appeal,0,2026-03-29
specialize,"~을 전공하다, 전문적으로 다루다",special,1,2026-03-29
consultant,"고문, 컨설턴트",consult,1,2026-03-29
degree,학위,degre,0,2026-03-29
certification,"증명서, 증명",certif,1,2026-03-29
occupation,직업,occup,0,2026-03-29
wage,"임금, 급료",wage,1,2026-03-29
attire,"복장, 옷차림새",attir,1,2026-03-29
code,"규범, 관례;암호",code,1,2026-03-29
concern,"우려, 걱정, 문제, 일, ~을 걱정스럽게 하다; 영향을 미치다, 관련되다.",concern,0,2026-03-29
policy,"규정; 보험, 증권",polici,1,2026-03-29
comply,"준수하다, 따르다",compli,1,2026-03-29
regulation,규정,regul,0,2026-03-29
exception,예외,except,1,2026-03-29
refrain,"자제하다, 삼가다",refrain,1,2026-03-29
permission,"허락, 허가",permiss,0,2026-03-29
thoroughly,"철저하게, 완전히, 대단히",thoroughli,0,2026-03-29
revise,"수정하다, 변경하다, 개정하다",revis,0,2026-03-29
approach,"접근법, 처리방법",approach,0,2026-03-29
approval,"승인, 인가",approv,1,2026-03-29
form,"종류, 유형, 양식",form,1,2026-03-29
immediately,"즉시, 곧",immedi,1,2026-03-29
inspection,"점검, 검사",inspect,0,2026-03-29
arrangement,"준비, 마련, 주선",arrang,0,2026-03-29
procedure,절차,procedur,1,2026-03-29
negative,"부정적인, 비관적인",neg,1,2026-03-29
mandate,"명령하다, 지시하다, 권한, 지시, 명령",mandat,1,2026-03-29
effect,"(법률등의)효력, 효과, 영향, 결과로서 ~을 가져오다",effect,1,2026-03-29
drastically,"심하게, 과감하게, 철저하게",drastic,0,2026-03-29
according to,~에 따라,according to,0,2026-03-29
enable,(무엇을)가능하게 하다,enabl,0,2026-03-29
standard,"기준, 표준",standard,0,2026-03-29
constant,"지속적인, 끊임없이 계속하는",constant,0,2026-03-29
act,"법령, 행동, 결정하다, 판결을 내리다, 행동하다",act,1,2026-03-29
compensation,"보상금, 보상",compens,1,2026-03-29
ban,"금지, 금지하다",ban,1,2026-03-29
obligation,"의무, 책임",oblig,1,2026-03-29
prohibit,금지하다,prohibit,0,2026-03-29
abolish,"(제도, 법률등을)폐지하다",abolish,0,2026-03-29
enforce,"(법률을)시행하다, 집행하다",enforc,1,2026-03-29
habit,"습관, 버릇",habit,0,2026-03-29
lagislation,"법률, 법규",lagisl,1,2026-03-29
restrict,"한정하다, 제한하다",restrict,0,2026-03-29
accustomed,익숙한,accustom,0,2026-03-29
corporatiion,"주식회사, 법인",corporatiion,0,2026-03-29
demanding,"요구가 많은, 힘든",demand,0,2026-03-29
colleague,동료,colleagu,0,2026-03-29
request,"요청, 요청하다",request,1,2026-03-29
efficiently,효율적으로,effici,0,2026-03-29
manage,~을 경영하다; 가까스로 하다,manag,1,2026-03-29
directly,곧바로,directli,1,2026-03-29
remind,"~에게 상기시키다, 일깨우다",remind,1,2026-03-29
deadline,"마감일, 마감 시간",deadlin,1,2026-03-29
sample,"견본, 샘플, 시험하다",sampl,1,2026-03-29
notify,"~에게 통지하다, 알리다",notifi,0,2026-03-29
perform,"행하다, 실행하다",perform,0,2026-03-29
monitor,"감독하다, 감시하다, 실행하다",monitor,1,2026-03-29
deserve,"~할 만하다, ~할 가치가 있다",deserv,1,2026-03-29
assignment,"일, 임무, 과제",assign,1,2026-03-29
entire,전체의,entir,0,2026-03-29
electronically,"컴퓨터 통신망으로, 컴퓨터로",electron,0,2026-03-29
attendance,"출석, 출근",attend,1,2026-03-29
absolutely,"절대적으로, 완전히",absolut,0,2026-03-29
attentively,"주의 깊게, 조심스럽게",attent,0,2026-03-29
supervision,감독,supervis,0,2026-03-29
workshop,"워크숍, 연수",workshop,0,2026-03-29
revision,"수정, 개정",revis,1,2026-03-29
reluctantly,"마지못해, 꺼려하여",reluctantli,1,2026-03-29
convey,(용건을)전달하다,convey,1,2026-03-29
check,"검사하다, 조사하다, 확인하다",check,1,2026-03-29
oversee,감독하다,overse,1,2026-03-29
involved,"관여하는, 관계된, 연루된",involv,0,2026-03-29
concentrate,"집중하다, 집중시키다",concentr,0,2026-03-29
procrastinate,"미루다, 꾸물거리다",procrastin,1,2026-03-29
accomplish,성취하다,accomplish,1,2026-03-29
voluntarily,자발적으로,voluntarili,1,2026-03-29
undertake,(일을)떠맡다,undertak,0,2026-03-29
occasionally,"가끔, 때때로",occasion,0,2026-03-29
employee,"직원, 고용인",employe,0,2026-03-29
assist,"돕다, 조력하다",assist,0,2026-03-29
satisfied,"만족하는, 만족스러워하는",satisfi,1,2026-03-29
manner,"방식, 태도",manner,0,2026-03-29
responsible,"책임이 있는, 책임져야 할",respons,1,2026-03-29
conduct,(업무 등을)수행하다,conduct,1,2026-03-29
personnel,"(집합적)직원, 인원; 인사과",personnel,1,2026-03-29
agree,동의하다,agre,0,2026-03-29
supervise,"감독하다, 지도하다",supervis,0,2026-03-29
coworker,"동료, 협력자",cowork,1,2026-03-29
assign,"배정하다, 할당하다",assign,0,2026-03-29
leading,"선도적인, 일류의, 가장 중요한, 선두적인",lead,1,2026-03-29
remove,"해임하다, 제거하다",remov,0,2026-03-29
collect,모으다,collect,0,2026-03-29
coordinate,조정하다,coordin,1,2026-03-29
hardly,거의~하지않다,hardli,0,2026-03-29
abstract,"추상적인, 막연한",abstract,1,2026-03-29
directory,주소록,directori,0,2026-03-29
accountable,책임이 있는,account,1,2026-03-29
skillfully,"능숙하게, 솜씨있게",skill,0,2026-03-29
exclusive,"독점적인, 배타적인",exclus,0,2026-03-29
transform,"바꾸다, 변모시키다",transform,0,2026-03-29
respectful,"정중한, 존중하는",respect,0,2026-03-29
duplicate,사본,duplic,1,2026-03-29
contrary,반대,contrari,0,2026-03-29
disturbing,"충격적인, 불안감을 주는, 방해하는",disturb,0,2026-03-29
foster,"촉진하다, 육성하다",foster,1,2026-03-29
neutrality,"중립성, 중립",neutral,1,2026-03-29
widely,널리,wide,0,2026-03-29
